id,source,score
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,NO_FAULT,0.3106408803596621
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,LTE4MDk5Mzk2NjU1NjM1ODI0NDc=,0.4862617576918068
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,LTcxMDU4NjY3NDcyMTgwNTc5MDE=,0.2103728623632155
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,LTkyMDExNjM1MjY4NDg4ODU5Mjk=,0.6889182279181463
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,NDExNzk3NjQ4ODg3NTY0OTQ3OA==,0.960203469511012
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,ODI4MTMxNDkzODEzNTg5OTE4Mg==,0.9811696653870737
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,node-worker1,0.42619712821709854
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,node-worker2,0.4938761128446343
5b70e0a6-0e95-11ee-ba2e-525400d4ffe4,node-worker3,0.2257139430440832
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,NO_FAULT,0.07926166903368115
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,LTE4MDk5Mzk2NjU1NjM1ODI0NDc=,0.8041593792500172
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,LTcxMDU4NjY3NDcyMTgwNTc5MDE=,0.3544053127082143
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,LTkyMDExNjM1MjY4NDg4ODU5Mjk=,0.044604747537685174
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,NDExNzk3NjQ4ODg3NTY0OTQ3OA==,0.9204353506650943
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,ODI4MTMxNDkzODEzNTg5OTE4Mg==,0.08392814551910399
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,node-worker1,0.7425812966280245
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,node-worker2,0.21282854720021993
5b70e3c6-0e95-11ee-ba2e-525400d4ffe4,node-worker3,0.5336776520449897
5b70e484-0e95-11ee-ba2e-525400d4ffe4,NO_FAULT,0.8323744239198204
5b70e484-0e95-11ee-ba2e-525400d4ffe4,LTE4MDk5Mzk2NjU1NjM1ODI0NDc=,0.0648082009026203
5b70e484-0e95-11ee-ba2e-525400d4ffe4,LTcxMDU4NjY3NDcyMTgwNTc5MDE=,0.5693210453900305
5b70e484-0e95-11ee-ba2e-525400d4ffe4,LTkyMDExNjM1MjY4NDg4ODU5Mjk=,0.557913626063054
5b70e484-0e95-11ee-ba2e-525400d4ffe4,NDExNzk3NjQ4ODg3NTY0OTQ3OA==,0.84315521241433
5b70e484-0e95-11ee-ba2e-525400d4ffe4,ODI4MTMxNDkzODEzNTg5OTE4Mg==,0.7705617800078827
5b70e484-0e95-11ee-ba2e-525400d4ffe4,node-worker1,0.9676171692750233
5b70e484-0e95-11ee-ba2e-525400d4ffe4,node-worker2,0.9499217877213869
5b70e484-0e95-11ee-ba2e-525400d4ffe4,node-worker3,0.5405772900202821
5b70e510-0e95-11ee-ba2e-525400d4ffe4,NO_FAULT,0.0034718944865308465
5b70e510-0e95-11ee-ba2e-525400d4ffe4,LTE4MDk5Mzk2NjU1NjM1ODI0NDc=,0.8200648292590322
5b70e510-0e95-11ee-ba2e-525400d4ffe4,LTcxMDU4NjY3NDcyMTgwNTc5MDE=,0.6626013612986624
5b70e510-0e95-11ee-ba2e-525400d4ffe4,LTkyMDExNjM1MjY4NDg4ODU5Mjk=,0.3374123393414422
5b70e510-0e95-11ee-ba2e-525400d4ffe4,NDExNzk3NjQ4ODg3NTY0OTQ3OA==,0.6025472517036438
5b70e510-0e95-11ee-ba2e-525400d4ffe4,ODI4MTMxNDkzODEzNTg5OTE4Mg==,0.841419430298866
5b70e510-0e95-11ee-ba2e-525400d4ffe4,node-worker1,0.6157048403928379
